Gene,Group
CALM3,Persistent clusters
FTH1,Persistent clusters
HES6,Persistent clusters
EHF,Persistent clusters
PTMS,Persistent clusters
KIAA2013,Persistent clusters
PLOD1,Persistent clusters
HSP90B1,Persistent clusters
GATA2,Persistent clusters
KTN1,Persistent clusters
MIF,Persistent clusters
ENAH,Persistent clusters
FADS1,Persistent clusters
VKORC1,Persistent clusters
EFNA3,Persistent clusters
HDGF,Persistent clusters
IRF2BP2,Persistent clusters
RAB13,Persistent clusters
CTNNA1,Persistent clusters
SEL1L,Persistent clusters
INSIG1,Persistent clusters
IDI1,Persistent clusters
SSR1,Persistent clusters
PIK3R3,Persistent clusters
EGLN1,Persistent clusters
COX20,Persistent clusters
ENSA,Persistent clusters
PDIA3,Persistent clusters
IARS2,Persistent clusters
SLC6A8,Persistent clusters
HNRNPK,Persistent clusters
BAMBI,Persistent clusters
BDP1,Persistent clusters
TAX1BP1,Persistent clusters
PDIA6,Persistent clusters
TMEM59,Persistent clusters
XBP1,Persistent clusters
BZW1,Persistent clusters
ARRDC3,Persistent clusters
MANF,Persistent clusters
HSPA5,Persistent clusters
AP3B2,NEPC upregulated
TUBB2B,NEPC upregulated
CRMP1,NEPC upregulated
PCSK1,NEPC upregulated
SEZ6,NEPC upregulated
CDC25B,NEPC upregulated
KCNC1,NEPC upregulated
TMEM145,NEPC upregulated
CCDC88A,NEPC upregulated
ASCL1,NEPC upregulated
ENO2,NEPC upregulated
MIAT,NEPC upregulated
SRRM4,NEPC upregulated
NPTX1,NEPC upregulated
PHF19,NEPC upregulated
RNF183,NEPC upregulated
TOX,NEPC upregulated
INSM1,NEPC upregulated
IGFBPL1,NEPC upregulated
ELAVL3,NEPC upregulated
RUNDC3A,NEPC upregulated
NKX2-1,NEPC upregulated
UNC13A,NEPC upregulated
FANCL,NEPC upregulated
SH3GL2,NEPC upregulated
FAM161A,NEPC upregulated
APLP1,NEPC upregulated
DLL3,NEPC upregulated
DNMT1,NEPC upregulated
ELAVL4,NEPC upregulated
FGF9,NEPC upregulated
INA,NEPC upregulated
NPPA,NEPC upregulated
PCSK2,NEPC upregulated
SNAP25,NEPC upregulated
SOX2,NEPC upregulated
STMN1,NEPC upregulated
MYCN,NEPC upregulated
AURKA,NEPC upregulated
TUBB3,NEPC upregulated
EZH2,NEPC upregulated
CHGA,NEPC upregulated
SYP,NEPC upregulated
AR,NEPC downregulated
AIM1,NEPC downregulated
ADRB2,NEPC downregulated
SPDEF,NEPC downregulated
STEAP1,NEPC downregulated
STEAP2,NEPC downregulated
C1orf116,NEPC downregulated
ERGIC1,NEPC downregulated
LATS2,NEPC downregulated
NKX3-1,NEPC downregulated
PMEPA1,NEPC downregulated
HOMER2,NEPC downregulated
ZBTB16,NEPC downregulated
ZG16B,NEPC downregulated
EPHX2,NEPC downregulated
SLC45A3,NEPC downregulated
GLUD1,NEPC downregulated
SLC44A4,NEPC downregulated
CCND1,NEPC downregulated
KLK3,NEPC downregulated
PPAP2A,NEPC downregulated
GRTP1,NEPC downregulated
YAP1,NEPC downregulated
SYNGR2,NEPC downregulated
ALDH6A1,NEPC downregulated
NAP1L2,NEPC downregulated
HPN,NEPC downregulated
RGS10,NEPC downregulated
